"Halifax, UK","Manchester, UK","09/07/2013","09/07/2013","Train"
"Manchester, UK","Berlin, Germany","10/07/2013","10/07/2013","Plane"
"Berlin, Germany","Manchester, UK","14/08/2013","14/08/2013","Plane"
"Manchester, UK","Halifax, UK","14/08/2013","14/08/2013","Train"

"Halifax, UK","Faro, Portugal","07/10/2013","07/10/2013","Plane"
"Faro, Portugal","Moncarapacho, Portugal","07/10/2013","07/10/2013","Car"
"Moncarapacho, Portugal","Faro, Portugal","19/10/2013","19/10/2013","Car"
"Faro, Portugal","Lagos, Portugal","19/10/2013","19/10/2013","Train"
"Lagos, Portugal","Moinhos Velhos, Cotifo, Portugal","19/10/2013","19/10/2013","Car"
"Moinhos Velhos, Cotifo, Portugal","Faro, Portugal","28/11/2013","28/11/2013","Car"
"Faro, Portugal","Manchester, UK","28/11/2013","28/11/2013","Plane"
"Manchester, UK","Halifax, UK","28/11/2013","28/11/2013","Train"

"Halifax, UK","London, UK","09/12/2013","09/12/2013","Bus"
"London, UK","Mumbai, India","10/12/2013","11/12/2013","Plane"
"Mumbai, India","Colombo, Sri Lanka","11/12/2013","11/12/2013","Plane"
"Colombo, Sri Lanka","Andugoda, Sri Lanka","12/12/2013","12/12/2013","Car"
"Andugoda, Sri Lanka","Colombo, Sri Lanka","04/03/2014","04/03/2014","Bus"
"Colombo, Sri Lanka","Singapore, Singapore","07/03/2014","07/03/2014","Plane"
"Singapore, Singapore","Melbourne, Australia","07/03/2014","08/03/2014","Plane"
"Melbourne, Australia","Mildura, Australia","27/04/2014","27/04/2014","Train"
"Mildura, Australia","Melbourne, Australia","25/06/2014","26/06/2014","Bus"
"Melbourne, Australia","Perth, Australia","05/07/2014","05/07/2014","Plane"
"Perth, Australia","Carnarvon, Australia","08/07/2014","09/07/2014","Bus"
"Carnarvon, Australia","Eudamullah, Australia","09/07/2014","09/07/2014","Car"
"Eudamullah, Australia","Carnarvon, Australia","24/07/2014","24/07/2014","Plane"
"Carnarvon, Australia","Perth, Australia","25/07/2014","26/07/2014","Bus"
"Perth, Australia","Wongawol, Australia","30/07/2014","30/07/2014","Car"
"Wongawol, Australia","Carnegie, Australia","15/08/2014","15/08/2014","Car"
"Carnegie, Australia","Wongawol, Australia","30/08/2014","30/08/2014","Road Train"
"Wongawol, Australia","Perth, Australia","31/08/2014","31/08/2014","Car"
"Perth, Australia","Carnarvon, Australia","03/09/2014","04/09/2014","Bus"
"Carnarvon, Australia","Ullawarra, Western Australia","04/09/2014","04/09/2014","Car"
"Ullawarra, Western Australia","Perth, Australia","07/09/2014","07/09/2014","Car"
"Perth, Australia","Freemantle, Australia","08/09/2014","08/09/2014","Train"
"Freemantle, Australia","Jimba Jimba, Australia","15/09/2014","15/09/2014","Car"
"Jimba Jimba, Australia","Carnarvon, Australia","01/10/2014","01/10/2014","Car"
"Carnarvon, Australia","Perth, Australia","01/10/2014","02/10/2014","Hitch Hike"
"Perth, Australia","Denpasar, Indonesia","03/10/2014","03/10/2014","Plane"
"Denpasar, Indonesia","Ubud, Indonesia","07/10/2014","07/10/2014","Taxi"
"Ubud, Indonesia","Padang Bai, Indonesia","12/10/2014","12/10/2014","Bus"
"Padang Bai, Indonesia","Denpasar, Indonesia","15/10/2014","15/10/2014","Minibus"
"Denpasar, Indonesia","Gilimanuk, Indonesia","15/10/2014","15/10/2014","Bus"
"Gilimanuk, Indonesia","Banyuwangi, Indonesia","15/10/2014","15/10/2014","Ferry"
"Banyuwangi, Indonesia","Yogyakarta, Indonesia","18/10/2014","18/10/2014","Train"
"Yogyakarta, Indonesia","Jakarta, Indonesia","21/10/2014","21/10/2014","Train"
"Jakarta, Indonesia","Singapore, Singapore","27/10/2014","27/10/2014","Plane"
"Singapore, Singapore","Kuala Lumpur, Malaysia","30/10/2014","30/10/2014","Bus"
"Kuala Lumpur, Malaysia","Singapore, Singapore","03/11/2014","03/11/2014","Plane"
"Singapore, Singapore","Perth, Australia","03/11/2014","03/11/2014","Plane"
"Perth, Australia","Cairns, Australia","25/11/2014","26/11/2014","Plane"
"Cairns, Australia","Daintree, Australia","20/12/2014","20/12/2014","Hitch Hike"
"Daintree, Australia","Cape Tribulation, Australia","21/12/2014","21/12/2014","Hitch Hike"
"Cape Tribulation, Australia","Port Douglas, Australia","25/12/2014","25/12/2014","Hitch Hike"
"Port Douglas, Australia","Cairns, Australia","28/12/2014","28/12/2014","Bus"
"Cairns, Australia","Atherton, Australia","29/12/2014","29/12/2014","Bus"
"Atherton, Australia","Cairns, Australia","23/02/2015","23/02/2015","Bus"
"Cairns, Australia","Sydney, Australia","28/02/2015","28/02/2015","Plane"
"Sydney, Australia","Singapore, Singapore","03/03/2015","03/03/2015","Plane"
"Singapore, Singapore","Kuala Lumpur, Malaysia","03/03/2015","04/03/2015","Bus"
"Kuala Lumpur, Malaysia","Penang, Malaysia","04/03/2015","04/03/2015","Bus"
"Penang, Malaysia","Kuala Lumpur, Malaysia","07/03/2015","07/03/2015","Bus"
"Kuala Lumpur, Malaysia","Hat Yai, Thailand","10/03/2015","11/03/2015","Train"
"Hat Yai, Thailand","Krabi, Thailand","11/03/2015","11/03/2015","Bus"
"Krabi, Thailand","Ton Sai, Thailand","13/03/2015","13/03/2015","Boat"
"Ton Sai, Thailand","Ao Nang, Thailand","15/03/2015","15/03/2015","Boat"
"Ao Nang, Thailand","Surat Thani, Thailand","15/03/2015","15/03/2015","Bus"
"Surat Thani, Thailand","Bangkok, Thailand","15/03/2015","16/03/2015","Train"
"Bangkok, Thailand","New Delhi, India","17/03/2015","17/03/2015","Plane"
"New Delhi, India","Birmingham, UK","17/03/2015","17/03/2015","Plane"
"Birmingham, UK","Halifax, UK","17/03/2015","17/03/2015","Train"

"Halifax, UK","London, UK","23/03/2016","23/03/2016","Bus"
"London, UK","Köln, Germany","23/03/2016","23/03/2016","Bus"
"Köln, Germany","Munich, Germany","23/03/2016","24/03/2016","Bus"
"Munich, Germany","Salzburg, Austria","25/03/2016","25/03/2016","Bus"
"Salzburg, Austria","Ljubljana, Slovenia","28/03/2016","28/03/2016","Car"
"Ljubljana, Slovenia","Zagreb, Croatia","30/03/2016","30/03/2016","Bus"
"Zagreb, Croatia","Zadar, Croatia","01/04/2016","01/04/2016","Car"
"Zadar, Croatia","Split, Croatia","03/04/2016","03/04/2016","Bus"
"Split, Croatia","Zadar, Croatia","06/04/2016","06/04/2016","Bus"
"Zadar, Croatia","London, UK","07/04/2016","07/04/2016","Plane"
"London, UK","Halifax, UK","08/04/2016","08/04/2016","Bus"

"Halifax, UK","Amsterdam, The Netherlands","14/04/2016","14/04/2016","Plane"
"Amsterdam, The Netherlands","Detroit, USA","14/04/2016","14/04/2016","Plane"
"Detroit, USA","Miami, USA","14/04/2016","14/04/2016","Plane"
"Miami, USA","Fort Lauderdale, USA","15/04/2016","15/04/2016","Train"
"Fort Lauderdale, USA","Nassau, Bahamas","16/04/2016","17/04/2016","Cruise Ship"
"Nassau, Bahamas","St. Thomas, US Virgin Islands","17/04/2016","19/04/2016","Cruise Ship"
"St. Thomas, US Virgin Islands","Philipsburg, Sint Maarten","19/04/2016","20/04/2016","Cruise Ship"
"Philipsburg, Sint Maarten","Fort Lauderdale, USA","19/04/2016","23/04/2016","Cruise Ship"
"Fort Lauderdale, USA","Miami, USA","23/04/2016","23/04/2016","Car"
"Miami, USA","Key West, USA","25/04/2016","25/04/2016","Car"
"Key West, USA","Miami, USA","25/04/2016","25/04/2016","Car"
"Miami, USA","New York, USA","28/04/2016","28/04/2016","Plane"
"New York, USA","Amsterdam, The Netherlands","28/04/2016","29/04/2016","Plane"
"Amsterdam, The Netherlands","Halifax, UK","29/04/2016","29/04/2016","Plane"

"Halifax, UK","London, UK","20/06/2016","20/06/2016","Bus"
"London, UK","Nice, France","21/06/2016","21/06/2016","Plane"
"Nice, France","Cotignac, France","21/06/2016","21/06/2016","Car"
"Cotignac, France","Nice, France","28/06/2016","28/06/2016","Car"
"Nice, France","London, UK","29/06/2016","29/06/2016","Plane"
"London, UK","Halifax, UK","29/06/2016","30/06/2016","Bus"
